Event Name,Datum,Start,Kategorie,Status,Veranstaltungsort,Beschreibung,Veranstalter,Quelle,Link
GrafanaCON Local meetup: Berlin,2026-06-11,,Talk / Conf,Open RSVP,"SumUp Services GmbH, Koppenstraße 8, 10243 Berlin",,,Meetup,https://www.meetup.com/grafana-and-friends-berlin/events/313665964/
Ask Female Founders: From BSS to Exit in Three Years,2026-06-11,,Networking,Open RSVP,Berlin (venue TBA),,,Meetup,https://www.meetup.com/berlin-digital-business-network-sibb/events/314748927/
BE UNIQUE Dialog - Mindful Unternehmertum & echte Vereinbarkeit,2026-06-11,,Networking,Sold out,"Maschenfein Studio, Erasmusstraße 14, 10553 Berlin",sold out,,Eventbrite,https://www.eventbrite.de/e/be-unique-dialog-mindful-unternehmertum-echte-vereinbarkeit-tickets-1983948997859
https://www.instagram.com/,2026-06-11,,Networking,Open RSVP,,Instagram home; no event,,Instagram,https://www.instagram.com/
OPUS Berlin Founder Drinks,2026-06-11,,Drinks,Invite only,Berlin,approval required,,Luma,https://luma.com/px67mtws
Ampli Summer Gathering Berlin 2026,2026-06-11,,Networking,Invite only,Berlin Mitte (rooftop),invite-only,,Luma,https://luma.com/xvrsamdk
https://www.instagram.com/p/DYg7rlqs6zw/,2026-06-11,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DYg7rlqs6zw/
https://www.instagram.com/p/DZKtB6SDM99/,2026-06-11,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZKtB6SDM99/
SLEEK Art Space Exhibition Opening 'FUSSBALL',2026-06-11,,Networking,Open RSVP,"SLEEK Art Space, Alexanderstr. 7, 10178 Berlin",,,EventCreate,https://www.eventcreate.com/e/sleek-exhibition-opening-fussball
AI NATION Founders Connect,2026-06-11,,Networking,Waitlist,Berlin,registration closed,,Luma,https://luma.com/3s865hx7
https://2es6sk.share-eu1.hsforms.com/2362I40EJTtqlZVdMA75GIA,2026-06-11,,Networking,Open RSVP,,HubSpot form; no event content,,Website,https://2es6sk.share-eu1.hsforms.com/2362I40EJTtqlZVdMA75GIA
SuperReturn 2026 (Houlihan Lokey),2026-06-11,,Networking,Open RSVP,Berlin,blocked/empty; title from URL,,Website,https://events.hl.com/superreturn-2026/registration
Dufte Berlin: SuperReturn meets Art Basel,2026-06-11,,Networking,Invite only,Berlin,approval required,,Luma,https://luma.com/cduys7by
Lean Coffee for Managers & Leaders,2026-06-12,,Networking,Open RSVP,"Cafe Neundrei, Monbijouplatz 2, Berlin",recurring,,Meetup,https://www.meetup.com/berlin-lean-coffee/events/314815012/
Coworking at Alexanderplatz,2026-06-12,,Networking,Sold out,"Alexanderplatz, Berlin",canceled,,Meetup,https://www.meetup.com/berlin-coworking-club/events/312626681/
Work Out & Tune In (Retreat),2026-06-12,,Wellness,Open RSVP,"Teupitz, Brandenburg",12-14 June retreat,,Website,https://www.elevateretreats.de/work-out-tune-in
https://tally.so/r/0Qa06A,2026-06-12,,Networking,Open RSVP,,form closed; no event content,,Tally,https://tally.so/r/0Qa06A
https://www.instagram.com/p/DZSsCY4tgWk/,2026-06-12,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZSsCY4tgWk/
The Pilates Social: Reggaeton Edition - Elevate x The A Society,2026-06-12,,Activity,Open RSVP,"Elevate Pilates, Greifswalder Str. 207, 10405 Berlin",past event,,Luma,https://luma.com/vnofh2w8
FOMO x The Delta: BAD1 Afterparty,2026-06-12,,Party,Invite only,Berlin,approval required,,Luma,https://luma.com/bad1afterparty
BAD1 Conference,2026-06-12,,Talk / Conf,Open RSVP,"The Delta, Neukölln, Berlin",,,Website,https://bad1.events/
Berlin Blockchain Week 2026,2026-06-13,,Festival,Open RSVP,Berlin,13-21 June,,Website,https://blockchainweek.berlin/
Entrepreneurship Sommerfest & Camp 2026,2026-06-13,,Networking,Open RSVP,"Profund Innovation, Altensteinstrasse 40, 14195 Berlin",Google Form,,Google Forms,https://docs.google.com/forms/d/e/1FAIpQLScVwsEv6KPXMbikO21AHLAsvqyTJGj1Eb9mC9HKA1AREhSrhQ/viewform
Solana Summit Germany,2026-06-13,,Talk / Conf,Open RSVP,"Spreespeicher, Stralauer Allee 2, 10245 Berlin",,,Luma,https://luma.com/solanasummitgermany
MOBILITY x PADEL (Beach Edition),2026-06-13,,Activity,Paid,"Padelhaus, Köpenicker Ch 11-14, 10317 Berlin",€32,,Luma,https://luma.com/858phbrs
Hands up Community Run,2026-06-13,,Activity,Open RSVP,"Kantstraße 26, 10623 Berlin",free,,Luma,https://luma.com/olj9am5u
https://www.instagram.com/p/DZFOQFuCJSs/,2026-06-13,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZFOQFuCJSs/
https://www.instagram.com/p/DZH3sAzkvQw/,2026-06-13,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZH3sAzkvQw/
https://www.instagram.com/p/DZHukLPANhK/,2026-06-13,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZHukLPANhK/
https://www.instagram.com/p/DZFwCsTjk4M/,2026-06-13,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZFwCsTjk4M/
https://www.instagram.com/p/DZNeIpAgAML/,2026-06-13,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZNeIpAgAML/
IGC Volunteering,2026-06-13,,Networking,Open RSVP,"Viyana Café, Kottbusser Str. 4, 10999 Berlin",past event,,Luma,https://luma.com/ootr6ns8
Elysian Temple VIII,2026-06-14,,Networking,Open RSVP,Berlin,address hidden,,Luma,https://luma.com/fcvmrgam
https://www.instagram.com/p/DYsIQvVIVGr/,2026-06-14,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DYsIQvVIVGr/
https://www.instagram.com/p/DY5L7bjx3K0/,2026-06-14,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DY5L7bjx3K0/
Berliner Weinfest,2026-06-14,,Drinks,Open RSVP,Berlin,blocked/empty; title from URL,,Website,https://www.berlinweinfest.de/
https://www.instagram.com/p/DZKLTclCICh/,2026-06-14,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZKLTclCICh/
https://www.instagram.com/p/DZIL0F8iLu6/,2026-06-14,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZIL0F8iLu6/
https://www.instagram.com/p/DZKxaOaCCT0/,2026-06-14,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZKxaOaCCT0/
https://www.instagram.com/p/DZKVJw8FaCU/,2026-06-14,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZKVJw8FaCU/
What is a Good Life? A Socratic Dialogue (Agnes Callard & Berislav Marušić),2026-06-14,,Networking,Paid,"Reethaus, Flussbad, Berlin",€20,,Website,https://flussbad.com/event/socratic-dialogue/
Homecoming | DAYOFF X BERLIN SOCIAL CLUB,2026-06-14,,Party,Open RSVP,"Hotel Amano Eastside, Stralauer Pl. 30-31, 10243 Berlin",dayparty & public viewing,,Luma,https://luma.com/qep7sot3
park.buchclub juni - YESTERYEAR,2026-06-14,,Party,Open RSVP,"Buchkantine, Dortmunder Str. 1, 10555 Berlin",past event,,Luma,https://luma.com/14whxg3s
Berlin: Designing the Next Generation of AI Experiences,2026-06-15,,Networking,Open RSVP,"SAP, George-Stephenson-Straße 7-13, 10557 Berlin",,,Meetup,https://www.meetup.com/projector-global-community/events/314859637/
Chainflip Social Run - Berlin Blockchain Week,2026-06-15,,Activity,Open RSVP,"Schlesische Str. 20, 10997 Berlin",,,Luma,https://luma.com/4uk00n6o
ARRtist on Tour Berlin 2026,2026-06-16,,Networking,Open RSVP,"HubSpot, Am Postbahnhof 17, 10243 Berlin",,,Eventbrite,https://www.eventbrite.de/e/arrtist-on-tour-berlin-2026-tickets-1985497324947
Female Founders Contest Halbfinale Berlin,2026-06-16,,Networking,Open RSVP,"Investitionsbank Berlin, Bundesallee 210, 10719 Berlin",,,Rausgegangen,https://t.rausgegangen.de/tickets/ffc-berlin
#35 AI Series: ETH Zürich - T. Wimmer,2026-06-16,,Networking,Open RSVP,"TU Berlin, Str. des 17. Juni 115, 10623 Berlin",,,Meetup,https://www.meetup.com/bliss-speaker-series/events/314165746/
Introduction to DAX User Defined Functions (UDFs),2026-06-16,,Networking,Open RSVP,"studio location berlin, Köpenicker Str. 187-188, 10997 Berlin",,,Meetup,https://www.meetup.com/berlin-power-bi-user-group/events/313692296/
IBM Bob (Coding) Watch Party in Berlin,2026-06-16,,Party,Open RSVP,"IBM Berlin, Ella-Trebe-Straße 3, Berlin",,,Meetup,https://www.meetup.com/ibm-developers/events/314655561/
AI for Non-Techies,2026-06-16,,Networking,Open RSVP,"Teclead Ventures, Köpenicker Straße 126, 10179 Berlin",,,Meetup,https://www.meetup.com/ai-for-non-techies/events/314802310/
berlinCreators eLAB-Werkstattabend,2026-06-16,,Networking,Open RSVP,"berlinCreators e.V., Lehrter Str. 53, Berlin",recurring,,Meetup,https://www.meetup.com/elab-makerspace/events/314829849/
Toastmasters Public Speaking - Effective Team Communication,2026-06-16,,Networking,Open RSVP,"St. Lukas-Kirche, Bernburger Straße 4-5, 10963 Berlin",recurring,,Meetup,https://www.meetup.com/become-a-better-speaker-at-center-berlin-toastmasters/events/313924342/
Coworking at Spittelmarkt,2026-06-16,,Networking,Open RSVP,"Spittelmarkt, Berlin",recurring,,Meetup,https://www.meetup.com/berlin-coworking-club/events/312626696/
Work in Progress — Brainstorm Your Exit Strategy,2026-06-16,,Networking,Paid,Berlin,€15,,Luma,https://luma.com/wtqnycgr
"Saddle Up Special: Featuring Rose Miles, aka Easy Rider",2026-06-16,,Networking,Waitlist,"Belushi's Berlin, Ziegelstraße 28, 10117 Berlin",waitlist,,Luma,https://luma.com/a8uk0ms6
"Speak, Lead, and Connect with First Berlin Toastmasters",2026-06-17,,Networking,Open RSVP,"St. Lukas Church, Bernburger Str. 3-5, Berlin",recurring,,Meetup,https://www.meetup.com/english-communication-and-leadership-and-feedback-training/events/312877455/
Angels & Beers - Investors only,2026-06-17,,Networking,Invite only,"Secret venue, Berlin",investors only,,Meetup,https://www.meetup.com/berlinstartups/events/314178212/
PROMPT x PURCHASE — A Bitrefill Hackathon,2026-06-17,,Talk / Conf,Open RSVP,"Mena Berlin, Skalitzer Str. 114, 10999 Berlin",Blockspäti Berlin,,Luma,https://luma.com/internetmoneyhack
https://www.instagram.com/p/DZHd6m4A8Uq/,2026-06-17,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZHd6m4A8Uq/
AI Tinkerers Berlin,2026-06-17,,Networking,Open RSVP,Berlin,blocked/empty; date from URL,,Website,https://berlin.aitinkerers.org/p/ai-tinkerers-berlin-june-17-2026
Berlin Girls Social presents: Queen's Court 🎾👑,2026-06-18,,Activity,Open RSVP,"PadelCity Berlin, Emma-Herwegh-Straße, 10557 Berlin",women-only padel night,,Luma,https://luma.com/in7bk2zv
DeSci.Berlin 2026,2026-06-18,,Networking,Invite only,"KÖNIG GALERIE, Alexandrinenstraße 118-121, 10969 Berlin",18-19 June; approval required,,Luma,https://luma.com/desciberlin2026
Web3 Summit 2026 Berlin,2026-06-18,,Talk / Conf,Open RSVP,Funkhaus Berlin,18-19 June festival,,Website,https://web3summit.com/
Summer Pitch Event,2026-06-18,,Talk / Conf,Open RSVP,"NEEW Ventures, Berliner Str. 80-82, 13189 Berlin",,,Luma,https://luma.com/1lk36q2z
LOVE BLOCK Party at The Blockspäti w/ Gnosis,2026-06-18,,Party,Open RSVP,Berlin,address hidden,,Luma,https://luma.com/loveblock
Gradient 04 x Mokka,2026-06-19,,Networking,Open RSVP,"Mokka Mitte Bar, Hackescher Markt, Berlin",rescheduled from 13 to 19 June,,Luma,https://luma.com/b279nbn6
Fuckup Days at ImpactHub Berlin,2026-06-19,,Networking,Open RSVP,"Impact Hub Berlin, Rollbergstraße 28A, 12053 Berlin",,,Meetup,https://www.meetup.com/fuckup-days-coworking/events/314178618/
Hands-On with Claude Code: AI Skills for Non Developers in 2 Hours,2026-06-19,,Networking,Open RSVP,"CIC Berlin, Lohmühlenstraße 65, 12435 Berlin",,,Luma,https://luma.com/0yhx23d8
Opening: No Place Like Home by Lee Shulman,2026-06-19,,Networking,Open RSVP,"Fotografiska Berlin, Oranienburger Str. 54, Berlin",,,Website,https://tickets-berlin.fotografiska.com/productDetail/139465
Saucony Berlin 10K Week: The Rolling Mile x Mystik Runners Shakeout,2026-06-19,,Activity,Open RSVP,"Oranienstraße 58, 10969 Berlin",,,Luma,https://luma.com/ake00qa8
[Block] Berlin Fashion Show Launch,2026-06-19,,Networking,Open RSVP,"Mena Berlin, Skalitzer Str. 114, 10999 Berlin",,,Luma,https://luma.com/blockberlaunch
https://www.instagram.com/p/DZKrQ39DUfi/,2026-06-20,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZKrQ39DUfi/
The Examined Leader — 1-Day Retreat,2026-06-20,,Wellness,Open RSVP,"Impact Hub Berlin, Rollbergstraße 28A, 12053 Berlin",,,Luma,https://luma.com/19ipblom
AI x ENERGY HACKATHON,2026-06-20,,Talk / Conf,Open RSVP,Berlin,address hidden,,Luma,https://luma.com/AIxENERGY-HACK
Berlin Robotics X AI Hackathon,2026-06-20,,Talk / Conf,Open RSVP,Berlin,,,Luma,https://luma.com/1857f2wa
Fête de la Musique,2026-06-21,,Networking,Open RSVP,various locations across Berlin,,,Website,https://www.berlin.de/fr/evenements/2102143-3000868-fete-de-la-musique.fr.html
TIO TIO x Gründerszene,2026-06-21,,Networking,Open RSVP,"TIO TIO Padel Berlin Rooftop, Marktstraße 6, 10317 Berlin",,,Luma,https://luma.com/9screuy1
Book Salon #3 – Pitch a Book!,2026-06-21,,Talk / Conf,Open RSVP,"Avomind, Schwedter Str. 263, Berlin",,,Luma,https://luma.com/i4pjs0w8
Koscheres Streetfood-Festival Berlin 2026,2026-06-21,,Networking,Open RSVP,"Hof der Neuen Synagoge, Oranienburger Str. 28-31, 10117 Berlin",,,Website,https://www.juedische-kulturtage.org/street-food
https://www.instagram.com/p/DY4K-iSAPZ8/,2026-06-21,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DY4K-iSAPZ8/
Drag Brunch,2026-06-21,,Breakfast,Open RSVP,Berlin,,,Rausgegangen,https://rausgegangen.de/en/events/drag-brunch-20/
Día del Ceviche Open House,2026-06-21,,Networking,Open RSVP,Berlin,blocked/empty; title from URL,,Website,https://sabinehueck.de/event/dia-del-ceviche-open-house-2/
https://www.instagram.com/p/DZJ6EBDFYEg/,2026-06-21,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZJ6EBDFYEg/
Funding Your Way: A Founder's Guide to Raising Capital,2026-06-22,,Talk / Conf,Open RSVP,Berlin,side event to K5 Conference,,Luma,https://luma.com/4s8o24qq
The smarter E Europe,2026-06-23,,Networking,Open RSVP,Messe München,"Munich, not Berlin",,Website,https://www.thesmartere.de/home
High-Risk HR: Preparing Your People Team for the EU AI Act,2026-06-23,,Networking,Open RSVP,"BIT - Beam Institute of Technology, Genthiner Str. 40, 10785 Berlin",,,Luma,https://luma.com/ala06e9e
'Mental Matters' by Kira Marie Cremer x Techniker Krankenkasse,2026-06-24,,Wellness,Open RSVP,"Mindspace Kurfürstendamm, Berlin",roadshow,,Website,https://kiramariecremer.de/mental-matters
Mobile.de: THE BIG SECRET SUMMER COMMUNITY EVENT,2026-06-24,,Networking,Open RSVP,"mobile.de HQ, Berlin",address hidden,,Luma,https://luma.com/jcru7jsl
https://www.instagram.com/p/DZKIsNCIh9D/,2026-06-24,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZKIsNCIh9D/
KNOW YOUR NUMBERS: The Biomarkers That Matter for Longevity,2026-06-24,,Wellness,Open RSVP,"Jodel Office, Wilhelmstraße 118, 10963 Berlin",,,Luma,https://luma.com/age-f2wp
Founders & Friends Berlin Meetup - Summer Party,2026-06-24,,Party,Open RSVP,"Playground Berlin, Adlergestell 105, 12439 Berlin",,,Luma,https://luma.com/892812u8
https://www.instagram.com/p/DZMsrxtCGmm/,2026-06-24,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZMsrxtCGmm/
To Customer Value and Beyond by addressable,2026-06-25,,Networking,Open RSVP,"SAP SE, George-Stephenson-Str. 7-11, 10557 Berlin",,,Luma,https://luma.com/knwtu12s
https://www.instagram.com/p/DWy453lCN7J/,2026-06-26,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DWy453lCN7J/
n8n Berlin Community Meetup - Rooftop Edition,2026-06-26,,Talk / Conf,Open RSVP,"Impact Hub Berlin, Rollbergstraße 28A, 12053 Berlin",,,Luma,https://luma.com/n8n-vvb3
Kreuzberg Festival (Bergmannstraßenfest),2026-06-26,,Networking,Open RSVP,"Bergmannstraße, 10961 Berlin",26-28 June; free,,Website,https://www.berlin.de/en/events/1934675-2842498-bergmannstrassenfest.en.html
https://www.instagram.com/reel/DYo_L3diaQz/,2026-06-28,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/reel/DYo_L3diaQz/
1-Hour Reading Rave with Live Music | Volkspark am Weinberg,2026-06-28,,Drinks,Open RSVP,"Volkspark am Weinberg, Veteranenstraße 9, 10119 Berlin",free outdoor,,Luma,https://luma.com/the-3vx2
https://www.instagram.com/p/DZDBXFDIN01/,2026-06-28,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZDBXFDIN01/
Stripe Tour Berlin 2026,2026-06-30,,Networking,Open RSVP,"Estrel Berlin, Sonnenallee 225, 12057 Berlin",,,Website,https://stripetour.com/berlin
Taste your Startup,2026-06-30,,Networking,Open RSVP,Berlin,,,Luma,https://luma.com/ufxubu91
Business Creator Summit (BCS),2026-06-30,,Talk / Conf,Open RSVP,Kulturbrauerei Berlin,,,Website,https://www.business-creator-summit.com/
Off the Record - Berlin,2026-06-30,,Networking,Open RSVP,"KINK Bar & Restaurant, Schönhauser Allee 176, 10119 Berlin",,,Luma,https://luma.com/djv96z6b
Berlin × Shanghai Night,2026-06-30,,Party,Open RSVP,Berlin,,,Luma,https://luma.com/98r3k410
Money Money Money... with Stock Market,2026-07-01,,Networking,Open RSVP,"betahaus Moritzplatz, Lobeckstraße 30, 10969 Berlin",,,Luma,https://luma.com/stpl5828
Berlin Deep Tech Nexus Meetup #12 @ ESCP,2026-07-01,,Talk / Conf,Open RSVP,"ESCP Business School Berlin, Heubnerweg 8-10, 14059 Berlin",,,Luma,https://luma.com/aumzljqi
Wellbeing Festival,2026-07-03,,Networking,Open RSVP,"nook Lakehouse, Bad Saarow",,,Website,https://www.nooksociety.com/Wellbeing-Festival
The Slow Weekend,2026-07-03,,Networking,Open RSVP,Brandenburg,blocked/empty; title from URL,,Website,https://www.elevateretreats.de/the-slow-weekend
People & Culture Dinner Vol 2: Africa Capital and Connect,2026-07-03,,Dinner,Open RSVP,Berlin,,,Luma,https://luma.com/q5o4xu1t
https://www.instagram.com/p/DY4BNXpsrRZ/,2026-07-04,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DY4BNXpsrRZ/
WeAreDevelopers World Congress,2026-07-08,,Talk / Conf,Open RSVP,Berlin,8-10 July,,Website,https://www.wearedevelopers.com/world-congress
Classic Open Air on Gendarmenmarkt,2026-07-09,,Networking,Open RSVP,"Gendarmenmarkt, Berlin",9-14 July,,Website,https://www.berlin.de/en/events/2096841-2842498-classic-open-air-at-gendarmenmarkt.en.html
https://www.instagram.com/p/DZFiyA4taJZ/,2026-07-11,,Networking,Open RSVP,,Instagram login wall,,Instagram,https://www.instagram.com/p/DZFiyA4taJZ/
HEC ESSEC ESCP - Bastille Day - Alumni Meetup Berlin,2026-07-14,,Talk / Conf,Open RSVP,"Café am Neuen See, Berlin",,,Luma,https://luma.com/23l7b7aw
UdK Rundgang – Open Days 2026,2026-07-17,,Networking,Open RSVP,"Various locations, Berlin (UdK)",17-19 July 2026 (verified),,Website,https://www.udk-berlin.de/en/event/rundgang-2025/
Lesbian and Gay City Festival (Stadtfest),2026-07-18,,Networking,Open RSVP,"Nollendorfplatz, Berlin-Schöneberg",18-19 July,,Website,https://www.stadtfest.berlin/en/index.html
Lollapalooza Berlin,2026-07-18,,Networking,Open RSVP,"Olympiastadion & Olympiapark, Berlin",18-19 July,,Website,https://www.lollapaloozade.com/en
Berliner CSD (Christopher Street Day),2026-07-25,,Networking,Open RSVP,Berlin,Demo Sat 25 July; kickoff Fri 24 (verified),,Website,https://csd-berlin.de/
Britzer Gartennacht 2026,2026-08-08,,Networking,Open RSVP,"Britzer Garten, Berlin",8 Aug 2026 (verified),,Website,https://www.botanische-nacht.de/
Tanz im August - Internationales Tanzfestival Berlin,2026-08-13,,Networking,Open RSVP,"HAU Hebbel am Ufer & various, Berlin",Festival 13-29 Aug 2026 (verified),,Website,https://www.tanzimaugust.de/ueber-uns
Pistachio Street Food Festival,2026-08-29,,Networking,Open RSVP,Berlin,29-30 August,,Website,https://true-italian.com/pistachio-street-food-festival/
Productlab Conference,2026-09-15,,Talk / Conf,Open RSVP,Berlin,15-17 Sept,,Website,https://productlab.app/#tickets
Berlin AI Day by Buildersklub,2026-09-15,,Networking,Open RSVP,"Festsaal Kreuzberg, Berlin",,,Luma,https://luma.com/kco33yis
AGETECHX 2026,2026-10-05,,Networking,Open RSVP,Berlin,5-6 Oct,,Luma,https://luma.com/agetechx-berlin
